path,class,width,height,format,mode
data\Abnormal_Sperm\Abnormal_Sperm (211).bmp,Abnormal_Sperm,208,163,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (212).bmp,Abnormal_Sperm,169,201,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (213).bmp,Abnormal_Sperm,212,168,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (214).bmp,Abnormal_Sperm,186,210,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (215).bmp,Abnormal_Sperm,171,223,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (216).bmp,Abnormal_Sperm,197,164,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (217).bmp,Abnormal_Sperm,199,155,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (218).bmp,Abnormal_Sperm,154,186,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (219).bmp,Abnormal_Sperm,214,123,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (22).bmp,Abnormal_Sperm,181,168,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (220).bmp,Abnormal_Sperm,151,202,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (221).bmp,Abnormal_Sperm,178,212,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (222).bmp,Abnormal_Sperm,207,192,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (223).bmp,Abnormal_Sperm,193,171,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (224).bmp,Abnormal_Sperm,202,159,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (225).bmp,Abnormal_Sperm,185,175,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (226).bmp,Abnormal_Sperm,196,166,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (227).bmp,Abnormal_Sperm,172,177,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (228).bmp,Abnormal_Sperm,186,187,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (229).bmp,Abnormal_Sperm,185,176,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (23).bmp,Abnormal_Sperm,185,178,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (230).bmp,Abnormal_Sperm,151,200,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (231).bmp,Abnormal_Sperm,176,174,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (232).bmp,Abnormal_Sperm,160,188,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (233).bmp,Abnormal_Sperm,150,204,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (234).bmp,Abnormal_Sperm,171,221,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (235).bmp,Abnormal_Sperm,183,194,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (236).bmp,Abnormal_Sperm,190,197,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (237).bmp,Abnormal_Sperm,205,141,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (238).bmp,Abnormal_Sperm,206,155,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (239).bmp,Abnormal_Sperm,193,194,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (24).bmp,Abnormal_Sperm,175,196,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (240).bmp,Abnormal_Sperm,184,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (241).bmp,Abnormal_Sperm,186,210,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (242).bmp,Abnormal_Sperm,198,177,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (243).bmp,Abnormal_Sperm,168,181,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (244).bmp,Abnormal_Sperm,166,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (245).bmp,Abnormal_Sperm,206,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (246).bmp,Abnormal_Sperm,186,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (247).bmp,Abnormal_Sperm,206,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (248).bmp,Abnormal_Sperm,186,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (249).bmp,Abnormal_Sperm,209,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (25).bmp,Abnormal_Sperm,179,193,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (250).bmp,Abnormal_Sperm,205,166,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (251).bmp,Abnormal_Sperm,173,169,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (252).bmp,Abnormal_Sperm,157,192,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (253).bmp,Abnormal_Sperm,185,178,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (254).bmp,Abnormal_Sperm,175,196,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (255).bmp,Abnormal_Sperm,179,193,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (256).bmp,Abnormal_Sperm,189,207,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (257).bmp,Abnormal_Sperm,203,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (258).bmp,Abnormal_Sperm,215,194,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (259).bmp,Abnormal_Sperm,194,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (26).bmp,Abnormal_Sperm,189,160,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (260).bmp,Abnormal_Sperm,195,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (261).bmp,Abnormal_Sperm,187,200,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (262).bmp,Abnormal_Sperm,175,184,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (263).bmp,Abnormal_Sperm,206,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (264).bmp,Abnormal_Sperm,220,196,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (265).bmp,Abnormal_Sperm,200,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (266).bmp,Abnormal_Sperm,199,158,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (267).bmp,Abnormal_Sperm,184,159,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (268).bmp,Abnormal_Sperm,183,171,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (269).bmp,Abnormal_Sperm,177,164,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (27).bmp,Abnormal_Sperm,189,207,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (270).bmp,Abnormal_Sperm,186,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (271).bmp,Abnormal_Sperm,194,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (272).bmp,Abnormal_Sperm,159,191,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (273).bmp,Abnormal_Sperm,196,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (274).bmp,Abnormal_Sperm,150,208,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (275).bmp,Abnormal_Sperm,197,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (276).bmp,Abnormal_Sperm,171,210,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (277).bmp,Abnormal_Sperm,175,161,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (278).bmp,Abnormal_Sperm,194,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (279).bmp,Abnormal_Sperm,197,164,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (28).bmp,Abnormal_Sperm,161,169,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (280).bmp,Abnormal_Sperm,170,188,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (281).bmp,Abnormal_Sperm,176,186,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (282).bmp,Abnormal_Sperm,192,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (283).bmp,Abnormal_Sperm,168,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (284).bmp,Abnormal_Sperm,212,170,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (285).bmp,Abnormal_Sperm,197,178,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (286).bmp,Abnormal_Sperm,197,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (287).bmp,Abnormal_Sperm,162,186,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (288).bmp,Abnormal_Sperm,175,203,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (289).bmp,Abnormal_Sperm,225,162,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (29).bmp,Abnormal_Sperm,203,151,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (290).bmp,Abnormal_Sperm,195,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (291).bmp,Abnormal_Sperm,168,143,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (292).bmp,Abnormal_Sperm,176,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (293).bmp,Abnormal_Sperm,163,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (294).bmp,Abnormal_Sperm,210,190,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (295).bmp,Abnormal_Sperm,205,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (296).bmp,Abnormal_Sperm,208,184,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (297).bmp,Abnormal_Sperm,202,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (298).bmp,Abnormal_Sperm,162,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (299).bmp,Abnormal_Sperm,179,190,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (3).bmp,Abnormal_Sperm,188,165,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (30).bmp,Abnormal_Sperm,215,194,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (300).bmp,Abnormal_Sperm,187,186,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (301).bmp,Abnormal_Sperm,183,177,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (302).bmp,Abnormal_Sperm,173,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (303).bmp,Abnormal_Sperm,181,197,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (304).bmp,Abnormal_Sperm,212,159,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (305).bmp,Abnormal_Sperm,214,184,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (306).bmp,Abnormal_Sperm,157,201,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (307).bmp,Abnormal_Sperm,195,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (308).bmp,Abnormal_Sperm,165,189,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (309).bmp,Abnormal_Sperm,234,175,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (31).bmp,Abnormal_Sperm,195,154,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (310).bmp,Abnormal_Sperm,209,143,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (311).bmp,Abnormal_Sperm,164,264,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (312).bmp,Abnormal_Sperm,160,202,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (313).bmp,Abnormal_Sperm,177,190,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (314).bmp,Abnormal_Sperm,207,158,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (315).bmp,Abnormal_Sperm,160,196,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (316).bmp,Abnormal_Sperm,177,169,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (317).bmp,Abnormal_Sperm,191,174,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (318).bmp,Abnormal_Sperm,187,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (319).bmp,Abnormal_Sperm,161,209,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (32).bmp,Abnormal_Sperm,195,156,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (320).bmp,Abnormal_Sperm,203,170,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (321).bmp,Abnormal_Sperm,171,187,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (322).bmp,Abnormal_Sperm,176,182,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (323).bmp,Abnormal_Sperm,184,178,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (324).bmp,Abnormal_Sperm,232,155,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (325).bmp,Abnormal_Sperm,187,161,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (326).bmp,Abnormal_Sperm,153,189,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (327).bmp,Abnormal_Sperm,231,158,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (328).bmp,Abnormal_Sperm,169,195,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (329).bmp,Abnormal_Sperm,199,157,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (33).bmp,Abnormal_Sperm,187,201,PNG,RGB
